armour,armor,
armoury,armory,
behaviour,behavior,
candour,candor,
clamour,clamor,
colour,color,
demeanour,demeanor,
endeavour,endeavor,
favourite,favorite,
flavour,flavor,
glamour,glamor,
harbour,harbor,
honour,honor,
humour,humor,
labour,labor,
neighbour,neighbor,
odour,odor,
rancour,rancor,
rigour,rigor,
rumour,rumor,
saviour,savior,
savour,savor,
savoury,savory,
splendour,splendor,
valour,valor,
vapour,vapor,
vigour,vigor,
amphitheatre,amphitheater,
calibre,caliber,
centimetre,centimeter,
centre,center,
fibre,fiber,
kilometre,kilometer,
litre,liter,
louvre,louver,
lustre,luster,
manoeuvre,maneuver,
meagre,meager,
metre,meter,
millimetre,millimeter,
sabre,saber,
sceptre,scepter,
sombre,somber,
spectre,specter,
theatre,theater,
analogue,analog,
dialogue,dialog,
catalogue,catalog,
epilogue,epilog,
monologue,monolog,
prologue,prolog,
travelogue,travelog,
cancelled,canceled,
counsellor,counselor,
equalled,equaled,
fuelling,fueling,
fuelled,fueled,
grovelling,groveling,
jeweller,jeweler,
jewellery,jewelry or jewelery,
levelled,leveled,
libelled,libeled,
marvellous,marvelous,
modelling,modeling,
panelled,paneled,
quarrelling,quarreling,
revelled,reveled,
woollen,woolen,
appal,appall,
distil,distill,
enrol,enroll,
enthral,enthrall,
fulfil,fulfill,
instil,instill,
skilful,skillful,
wilful,willful,
diarrhoea,diarrhea,
oestrogen,estrogen,
foetus,fetus,
manoeuvre,maneuver,
mementoes,mementos,
anaemia,anemia,
caesarean,cesarean,
gynaecology,gynecology,
haemorrhage,hemorrhage,
leukaemia,leukemia,
palaeontology,paleontology,
paediatric,pediatric,
appetiser,appetizer,
authorise,authorize,
capitalise,capitalize,
characterise,characterize,
civilise,civilize,
colonise,colonize,
criticise,criticize,
dramatise,dramatize,
emphasise,emphasize,
equalise,equalize,
mobilise,mobilize,
naturalise,naturalize,
organise,organize,
popularise,popularize,
realise,realize,
recognise,recognize,
satirise,satirize,
standardise,standardize,
symbolise,symbolize,
vaporise,vaporize,
analyse,analyze,
paralyse,paralyze,
defence,defense,
offence,offense,
pretence,pretense,
vice,vise,
licence,license,
practise,practice,
sulphate,sulfate,
sulphide,sulfide,
sulphur,sulfur,
draught,draft,
plough,plow,
tyre,tire,
gybe,jibe,
mould,mold,
moult,molt,
smoulder,smolder,
programme,program,
cheque,check,
chequer,checker,
acknowledgement,acknowledgment,
ageing,aging,
judgement,judgment,
aluminium,aluminum,
axe,ax,
cosy,cozy,
kerb,curb,
furore,furor,
grey,gray,
carat,karat,
liquorice,licorice,
moustache,mustache,
nought,naught,
pyjamas,pajamas,
sceptic,skeptic,
phial,vial,
whisky,whiskey,
